"Deptcode","Department Name English - Public Accounts","Department Name Fench - Public Accounts","Applied Title (English)","Applied Title (French)","Legal Title (English)","Legal Title (French)","Ministerial Portfolio (English)","Ministerial Portfolio (French)","Appropriate Minister 1 - Name (English)","Appropriate Minister 1 - Title (English)","Appropriate Minister 2 - Name (English)","Appropriate Minister 2 - Title (English)","Appropriate Minister 3 - Name (English)","Appropriate Minister 3 - Title (English)","Appropriate Minister 1 - Name (French)","Appropriate Minister 1 - Title (French)","Appropriate Minister 2 - Name (French)","Appropriate Minister 2 - Title (French)","Appropriate Minister 3 - Name (French)","Appropriate Minister 3 - Title (French)","Institutional Head (English)","Institutional Head (French)","Mandate (English) [HTML]","Mandate (French) [HTML]","Institutional Form (English)","Institutional Form (French)","Enabling Instrument (English) [HTML]","Enabling Instrument (French) [HTML]","Website (English)","Website (French)"
"NPA","Northern Pipeline Agency","Administration du pipe-line du Nord","Northern Pipeline Agency Canada","Administration du pipe-line du Nord Canada","Northern Pipeline Agency","Administration du pipe-line du Nord","Natural Resources","Ressources naturelles","Oliver, Joe (Hon.)","Minister of Natural Resources","NULL","NULL","NULL","NULL","Oliver, Joe (L'hon.)","ministre des Ressources naturelles","NULL","NULL","NULL","NULL","Serge Dupont, Commissioner","Serge Dupont, commissaire","<p>To carry out federal responsibilities in relation to the Alaska Highway Gas Pipeline and facilitate the efficient and expeditious planning and construction of the pipeline, taking into account local and regional interests, particularly those of First Nations; and to maximize the social and economic benefits from the construction and operation of the pipeline while minimizing any adverse effect on the social and environmental conditions of the areas most directly affected by the pipeline.</p>","<p>Assumer les responsabilit&#233;s f&#233;d&#233;rales relatives au pipe-line de la route de l&#8217;Alaska, faciliter la planification et la construction efficaces et rapides du pipe-line en tenant compte des int&#233;r&#234;ts locaux et r&#233;gionaux, surtout ceux des Premi&#232;res nations et maximiser les avantages sociaux et &#233;conomiques de la construction et de l&#8217;exploitation du pipe-line tout en minimisant les effets n&#233;fastes possibles sur les conditions sociales et environnementales des r&#233;gions plus directement touch&#233;es par le pipe-line</p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Northern Pipeline Act</em>, R.S.C. 1985, c. N-26</p>","<p><em>Loi sur le pipe-line du Nord,</em> L.R.C. 1985, ch. N-26</p>","www.npa.gc.ca","www.npa.gc.ca"
"NPB","Parole Board of Canada","Commission des libérations conditionnelles du Canada","Parole Board of Canada","Commission des libérations conditionnelles du Canada","National Parole Board","Commission nationale des libérations conditionnelles","Public Safety and Emergency Preparedness","Sécurité publique et Protection civile","Toews, Vic (Hon.)","Minister of Public Safety","NULL","NULL","NULL","NULL","Toews, Vic (L'hon.)","ministre de la Sécurité publique","NULL","NULL","NULL","NULL","Harvey Cenaiko, Chairperson","Harvey Cenaiko, président","<p>To make independent, quality conditional release and&#160;record suspension&#160;decisions and clemency recommendations as part of the criminal justice system. The Board contributes to the protection of society by facilitating, as appropriate, the timely integration of offenders as law-abiding citizens.</p>","<p>Prendre en toute ind&#233;pendance des d&#233;cisions judicieuses sur la mise en libert&#233; sous condition et sur la suspension du casier et formule des recommandations en mati&#232;re de cl&#233;mence, en tant que partie int&#233;grante du syst&#232;me de justice p&#233;nale. Elle contribue &#224; la protection de la soci&#233;t&#233; en favorisant la r&#233;int&#233;gration en temps opportun des d&#233;linquants comme citoyens respectueux des lois.</p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Corrections and Conditional Release Act</em>, S.C. 1992, c. 20</p>","<p><em>Loi sur le syst&#232;me correctionnel et la mise en libert&#233; sous condition</em>, L.C. 1992, ch. 20</p>","www.pbc-clcc.gc.ca","www.pbc-clcc.gc.ca"
"NR","Natural Resources","Ressources naturelles","Natural Resources Canada","Ressources naturelles Canada","Department of Natural Resources","Ministère des Ressources naturelles","Natural Resources","Ressources naturelles","Oliver, Joe (Hon.)","Minister of Natural Resources","NULL","NULL","NULL","NULL","Oliver, Joe (L'hon.)","ministre des Ressources naturelles","NULL","NULL","NULL","NULL","Serge Dupont, Deputy Minister","Serge Dupont, sous-ministre","<p>To develop, implement, and deliver policies, programs, and science and technology for the sustainable development and responsible use of Canada&#8217;s mineral, energy, and forestry resources; to develop an understanding of Canada&#8217;s landmass and collect and disseminate information on sustainable resource development; and to maintain key roles related to the safety and security of people and natural resources, including security of natural resource infrastructure and supply.</p>","<p>&#201;laborer, mettre en &#339;uvre et ex&#233;cuter des politiques, des programmes ainsi que des activit&#233;s scientifiques et technologiques aux fins du d&#233;veloppement durable et de l&#8217;utilisation responsable des ressources min&#233;rales, &#233;nerg&#233;tiques et foresti&#232;res du Canada; approfondir les connaissances sur la masse continentale du Canada ainsi que recueillir et diffuser des renseignements sur le d&#233;veloppement durable des ressources et jouer un r&#244;le cl&#233; en vue d&#8217;assurer la s&#251;ret&#233; et la s&#233;curit&#233; des personnes et des ressources naturelles, notamment en ce qui a trait &#224; l&#8217;infrastructure et &#224; l&#8217;approvisionnement des ressources naturelles.</p>","Department","Ministère","<p><em>Department of Natural Resources Act</em>, S.C. 1994, c. 41</p>","<p><em>Loi sur le minist&#232;re des Ressources naturelles</em>, L.C. 1994, ch. 41</p>","www.nrcan-rncan.gc.ca","www.nrcan-rncan.gc.ca"
"NRC","National Research Council of Canada","Conseil national de recherches du Canada","National Research Council Canada","Conseil national de recherches Canada","National Research Council of Canada","Conseil national de recherches du Canada","Industry","Industrie","Paradis, Christian (Hon.)","Minister of Industry","Rickford, Greg (Hon.)","Minister of State (Science and Technology) (Federal Economic Development Initiative for Northern Ontario)","NULL","NULL","Paradis, Christian (L'hon.)","ministre de l'Industrie","Rickford, Greg (L'hon.)","ministre d'État (Sciences et Technologie) (Initiative fédérale du développement économique pour le Nord de l'Ontario)","NULL","NULL","John McDougall, President","John McDougall, président","<p>To undertake, assist, or promote scientific and industrial research in different fields of importance to Canada; to investigate standards and methods of measurement; to work on the standardization and certification of scientific and technical apparatus and instruments and materials used or usable by Canadian industry; to operate and administer astronomical observatories established or maintained by the Government of Canada; to administer National Research Council research and development activities, including grants and contributions used to support a number of international activities; to provide vital scientific and technological services to the research and industrial communities; and to establish, operate and maintain a national science library and publish, sell, and otherwise distribute scientific and technical information.</p>","<p>Entreprendre, aider ou promouvoir des recherches scientifiques et industrielles, en particulier dans les domaines d&#8217;importance pour le Canada; &#233;tudier les unit&#233;s et les techniques de mesure; normaliser et homologuer des appareils et instruments scientifiques et techniques ainsi que les mat&#233;riaux &#224; l&#8217;usage de l&#8217;industrie canadienne; assurer le fonctionnement et la gestion des observatoires astronomiques mis sur pied ou exploit&#233;s par le gouvernement du Canada; administrer les activit&#233;s de recherche et de d&#233;veloppement du Conseil national de recherches du Canada, y compris les subventions et les contributions soutenant diverses activit&#233;s internationales; dispenser des services scientifiques et technologiques essentiels &#224; la collectivit&#233; scientifique et industrielle; mettre sur pied une biblioth&#232;que scientifique nationale et en assurer le fonctionnement et publier, vendre ou diffuser par tout autre moyen de l&#8217;information scientifique et technique</p>","Departmental Corporation","Établissement public","<p><em>National Research Council Act</em>, R.S.C. 1985, c. N-15</p>","<p><em>Loi sur le Conseil national de recherches</em>, L.R.C. 1985, ch. N-15</p>","www.nrc-cnrc.gc.ca","www.cnrc-nrc.gc.ca"
"NSERC","Natural Sciences and Engineering Research Council","Conseil de recherches en sciences naturelles et en génie","Science and Engineering Research Canada","Recherches en sciences et en génie Canada","Natural Sciences and Engineering Research Council","Conseil de recherches en sciences naturelles et en génie","Industry","Industrie","Paradis, Christian (Hon.)","Minister of Industry","Rickford, Greg (Hon.)","Minister of State (Science and Technology) (Federal Economic Development Initiative for Northern Ontario)","NULL","NULL","Paradis, Christian (L'hon.)","ministre de l'Industrie","Rickford, Greg (L'hon.)","ministre d'État (Sciences et Technologie) (Initiative fédérale du développement économique pour le Nord de l'Ontario)","NULL","NULL","The Honourable James S. Edwards, Interim President","Lhonorable James S. Edwards, président par intérim","<p>To promote and assist research in the natural sciences and engineering, other than the health sciences; and to advise the Minister in respect of such matters relating to such research as the Minister may refer to the Council for its consideration.</p>","<p>Promouvoir et soutenir la recherche dans le domaine des sciences naturelles et du g&#233;nie, &#224; l&#8217;exclusion des sciences de la sant&#233;; conseiller le ministre en mati&#232;re de recherche sur les questions que celui-ci a soumises &#224; son examen.</p>","Departmental Corporation","Établissement public","<p><em>Natural Sciences and Engineering Research Council Act</em>, R.S.C. 1985, c. N-21</p>","<p><em>Loi sur le Conseil de recherches en sciences naturelles et en g&#233;nie</em>, L.R.C. 1985, ch. N-21</p>","www.nserc-crsng.gc.ca","www.nserc-crsng.gc.ca"
"OAG","Auditor General","Vérificateur général","Office of the Auditor General of Canada","Bureau du vérificateur général du Canada","Office of the Auditor General","Bureau du vérificateur général","Finance","Finances","Flaherty, Jim (Hon.)","Minister of Finance","NULL","NULL","NULL","NULL","Flaherty, Jim (L'hon.)","ministre des Finances","NULL","NULL","NULL","NULL","Michael Ferguson, Auditor General of Canada","Michael Ferguson, vérificateur général du Canada","<p>To conduct independent audits and studies that provide objective information, advice, and assurance to Parliament, territorial legislatures, government, and Canadians.</p>","<p>Effectuer des v&#233;rifications et des &#233;tudes ind&#233;pendantes qui fournissent information, assurance et avis objectifs au Parlement, aux assembl&#233;es l&#233;gislatives des territoires, au gouvernement et aux Canadiens</p>","Agent of Parliament","Agent du Parlement","<p><em>Auditor General Act</em>, R.S.C. 1985, c. A-17 <br /> <em>Financial Administration Act</em>, R.S.C. 1985, c. F-11</p>","<p><em>Loi sur le v&#233;rificateur g&#233;n&#233;ral</em>, L.R.C. 1985, c. A-17<br /> <em>Loi sur la gestion des finances publiques</em>, L.R.C. 1985, c. F-11</p>","www.oag-bvg.gc.ca","www.oag-bvg.gc.ca"
"OCI","Office of the Correctional Investigator","Bureau de l'enquêteur correctionnel","The Correctional Investigator Canada","Enquêteur correctionnel Canada","Office of the Correctional Investigator of Canada","Bureau de l'enquêteur correctionnel du Canada","Public Safety and Emergency Preparedness","Sécurité publique et Protection civile","Toews, Vic (Hon.)","Minister of Public Safety","NULL","NULL","NULL","NULL","Toews, Vic (L'hon.)","ministre de la Sécurité publique","NULL","NULL","NULL","NULL","Howard Sapers, Correctional Investigator","Howard Sapers, Enquêteur correctionnel","<p>As the ombudsman for federally sentenced offenders, the Office of the Correctional Investigator serves Canadians and contributes to safe, lawful and humane corrections through independent oversight of the Correctional Service of Canada by providing accessible, impartial and timely investigation of individual ans systemic concerns. While an independent organization, the Office of the Correctional Investigator is part of the Public Safety Portfolio.</p>","<p>&#192; titre d'ombudsman aupr&#232;s des d&#233;linquants sous responsabilit&#233; f&#233;d&#233;rale, le Bureau de l'enqu&#234;teur correctionnel est au service des&#160;Canadiens et contribue &#224; ce que les services correctionnels soient s&#233;curitaires, humains et respectueux de la loi en assurant une surveillance ind&#233;pendante du Service correctionnel du Canada, notamment en effectuant en temps opportun un examen impartial et accessible des pr&#233;occupations individuelles et g&#233;n&#233;ralis&#233;es. Le Bureau de l'enqu&#234;teur correctionnel, m&#234;me s'il est ind&#233;pendant, fait partie du portefeuille de la S&#233;curit&#233; publique.</p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Corrections and Conditional Release Act</em>, S.C. 1992, c. 20</p>","<p><em>Loi sur le syst&#232;me correctionnel et la mise en libert&#233; sous condition</em>, L.C. 1992, c. 20</p>","www.oci-bec.gc.ca","www.oci-bec.gc.ca"
"OCOL","Office of the Commissioner of Official Languages","Commissariat aux langues officielles","Office of the Commissioner of Official Languages","NULL","Office of the Commissioner of Official Languages","Commissariat aux langues officielles","Privy Council","Conseil privé","Lebel, Denis (Hon.)","President of the Queen's Privy Council for Canada","Lebel, Denis (Hon.)","Minister of Infrastructure, Communities and Intergovernmental Affairs","Lebel, Denis (Hon.)","Minister of the Economic Development Agency of Canada for the Regions of Quebec","Lebel, Denis (L'hon.)","président du Conseil privé de la Reine pour le Canada","Lebel, Denis (L'hon.)","ministre de lInfrastructure, des Collectivités et des Affaires intergouvernementales","Lebel, Denis (L'hon.)","ministre de l'Agence de développement économique du Canada pour les régions du Québec","Graham Fraser, Commissioner of Official Languages","Graham Fraser, commissaire aux langues officielles","<p>It is the duty of the Commissioner to take all actions and measures within the authority of the Commissioner with a view to ensuring&#160;recognition of the status of each of the official languages and compliance with the spirit and intent of the <em>Official Languages Act</em> in the administration of the affairs of federal institutions, including any of their activities relating to the advancement of English and French in Canadian society.</p>","<p>Il incombe au commissaire de prendre, dans le cadre de sa comp&#233;tence, toutes les mesures visant &#224; assurer la reconnaissance du statut de chacune des langues officielles et &#224; faire respecter l&#8217;esprit de la <em>Loi sur les langues officielles</em> et l&#8217;intention du l&#233;gislateur en ce qui touche l&#8217;administration des affaires des institutions f&#233;d&#233;rales, et notamment la promotion du fran&#231;ais et de l&#8217;anglais dans la soci&#233;t&#233; canadienne.</p>","Agent of Parliament","Agent du Parlement","<p><em>Official Languages Act</em>, R.S.C. 1985, c. 31 (4th Supp.)</p>","<p><em>Loi sur les langues officielles</em>, L.R.C. 1985, c. 31 (4e suppl.)</p>","www.ocol-clo.gc.ca","www.ocol-clo.gc.ca"
"OCSEC","Office of the Communications Security Establishment Commissioner","Centre de la sécurité des télécommunications","Office of the Communications Security Establishment Commissioner","NULL","Office of the Communications Security Establishment Commissioner","Bureau du commissaire du Centre de la sécurité des télécommunications","National Defence","Défense nationale","MacKay, Peter (Hon.)","Minister of National Defence","NULL","NULL","NULL","NULL","MacKay, Peter (L'hon.)","ministre de la Défense nationale","NULL","NULL","NULL","NULL","Robert Décary, Q.C., Commissioner","Robert Décary, c.r., commissaire","<p>To review the activities of the Communications Security Establishment Canada to ensure that it is&#160;in compliance with the law, to undertake any investigation that the Commissioner considers necessary in response to a complaint, and to inform the Minister and the Attorney General of Canada of any activity of the Establishment that the Commissioner believes may not be in compliance with the law.</p> <p>To receive information from persons who are permanently bound to secrecy seeking to release special operational information on the grounds that it is in the public interest.</p>","<p>Proc&#233;der &#224; l&#8217;examen des activit&#233;s du Centre de la s&#233;curit&#233; des t&#233;l&#233;communications pour en contr&#244;ler la l&#233;galit&#233;; effectuer des enqu&#234;tes jug&#233;es n&#233;cessaires par le Commissaire &#224; la suite de plaintes; informer le ministre et le procureur g&#233;n&#233;ral du Canada de tous les cas o&#249;, de l&#8217;avis du Commissaire, le Centre pourrait ne pas avoir agi en conformit&#233; avec la loi.</p> <p>Recevoir de l&#8217;information &#233;manant de personnes astreintes au secret &#224; perp&#233;tuit&#233; qui souhaiteraient communiquer des renseignements op&#233;rationnels sp&#233;ciaux en faisant valoir la primaut&#233; de l&#8217;int&#233;r&#234;t public.</p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>National Defence Act</em>, R.S.C. 1985, c. N-5</p>","<p><em>Loi sur la d&#233;fense nationale</em>, L.R.C. 1985, ch. N-5</p>","www.ocsec-bccst.gc.ca","www.ocsec-bccst.gc.ca"
"ODPP","Office of the Director of Public Prosecutions","Bureau du directeur des poursuites pénales","Public Prosecution Service of Canada","Service des poursuites pénales du Canada","Office of the Director of Public Prosecutions","Bureau du directeur des poursuites pénales","Justice","Justice","Nicholson, Rob (Hon.)","Minister of Justice","Nicholson, Rob (Hon.)","Attorney General of Canada","NULL","NULL","Nicholson, Rob (L'hon.)","ministre de la Justice","Nicholson, Rob (L'hon.)","procureur général du Canada","NULL","NULL","Brian Saunders, Director of Public Prosecutions","Brian Saunders, directeur des poursuites pénales","<p>To provide prosecutorial advice and litigation support to law enforcement and investigative agencies and to prosecute on behalf of the Crown all offences falling within the jurisdiction of the Attorney General of Canada.</p>","<p>Conseiller et assister les organismes d&#8217;enqu&#234;te et d&#8217;application de la loi relativement aux poursuites, et intenter des poursuites au nom de la Couronne pour toute infraction relevant de la comp&#233;tence du procureur g&#233;n&#233;ral du Canada</p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Director of Public Prosecutions Act</em>, S.C. 2006, c. 9, s. 121</p>","<p><em>Loi sur le directeur des poursuites p&#233;nales</em>, L.C. 2006, ch. 9, art. 121</p>","www.ppsc-sppc.gc.ca/","www.ppsc-sppc.gc.ca"
"OICC","Office of Infrastructure of Canada","Bureau de l'infrastructure du Canada","Infrastructure Canada","Infrastructure Canada","Office of Infrastructure of Canada","Bureau de l'infrastructure du Canada","Office of Infrastructure of Canada","Bureau de l’infrastructure du Canada","Lebel, Denis (Hon.)","Minister of Infrastructure, Communities and Intergovernmental Affairs","Lebel, Denis (Hon.)","Minister of the Economic Development Agency of Canada for the Regions of Quebec","Lebel, Denis (Hon.)","President of the Queen's Privy Council for Canada","Lebel, Denis (L'hon.)","ministre de l'Infrastructure, des Collectivités et des Affaires intergouvernementales","Lebel, Denis (L'hon.)","ministre de l'Agence de développement économique du Canada pour les régions du Québec","Lebel, Denis (L'hon.)","président du Conseil privé de la Reine pour le Canada","Louis Lévesque, Deputy Head","Louis Lévesque, administrateur général","<p>Infrastructure Canada is responsible for federal efforts to enhance Canada&#8217;s public infrastructure through strategic investments, key partnerships, sound policies, and research; it exists to ensure that Canadians benefit from world-class public infrastructure.</p>","<p>Infrastructure Canada est responsable de diriger les efforts des minist&#232;res f&#233;d&#233;raux pour am&#233;liorer les infrastructures publiques du Canada au moyen d&#8217;investissements strat&#233;giques, de partenariats cl&#233;s, de politiques saines et de recherches; il existe pour s&#8217;assurer que les Canadiens b&#233;n&#233;ficient d&#8217;une infrastructure publique de calibre mondial.</p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Order in Countil PC 2004-0325</em></p>","<p><em>D&#233;cret CP 2004-0325</em></p>","www.infrastructure.gc.ca","www.infrastructure.gc.ca"
"ORL","Office of the Commissioner of Lobbying","Commissariat au lobbying","Office of the Commissioner of Lobbying of Canada","Commissariat au lobbying du Canada","Office of the Commissioner of Lobbying","Commissariat au lobbying","Treasury Board","Conseil du Trésor","Clement, Tony (Hon.)","President of the Treasury Board","Clement, Tony (Hon.)","Minister for the Federal Economic Development Initiative for Northern Ontario","NULL","NULL","Clement, Tony (L'hon.)","président du Conseil du Trésor","Clement, Tony (L'hon.)","ministre de l'Initiative fédérale du développement économique dans le Nord de l'Ontario","NULL","NULL","Karen E. Shepherd, Commissioner of Lobbying","Karen E. Shepherd, commissaire au lobbying","<p>To establish and maintain the registry under the <em>Lobbying Act</em>, to issue advisory opinions and interpretation bulletins regarding the Act, to develop the <em>Lobbyists&#8217; Code of Conduct</em> and oversee compliance with the Code, to investigate alleged breaches of the Code, to develop and implement educational programs, and to prepare a report that will be tabled by the Speaker of the Senate and the Speaker of the House of Commons in their respective House of Parliament.</p>","<p>&#201;tablir et tenir &#224; jour le registre en vertu de la <em>Loi sur le lobbying</em>; &#233;mettre des avis consultatifs et des bulletins d&#8217;interpr&#233;tation au sujet de la Loi; &#233;laborer le <em>Code de d&#233;ontologie des lobbyistes</em> et surveiller l&#8217;observation de ce code; enqu&#234;ter sur des pr&#233;sum&#233;es violations du Code de d&#233;ontologie; &#233;laborer et mettre en &#339;uvre des programmes d&#8217;&#233;ducation et pr&#233;parer un rapport qui sera d&#233;pos&#233; par le pr&#233;sident du S&#233;nat et le pr&#233;sident de la Chambre des communes devant leur chambre respective</p>","Agent of Parliament","Agent du Parlement","<p><em>Lobbying Act</em>, R.S.C. 1985, c. 44 (4th Supp.)</p>","<p><em>Loi sur le lobbying</em>, L.R.C. 1985, c. 44 (4e suppl.)</p>","www.ocl-cal.gc.ca","www.cal-ocl.gc.ca"
"OSFI","Office of the Superintendent of Financial Institutions","Bureau du surintendant des institutions financières","Office of the Superintendent of Financial Institutions Canada","Bureau du surintendant des institutions financières Canada","Office of the Superintendent of Financial Institutions","Bureau du surintendant des institutions financières","Finance","Finances","Flaherty, Jim (Hon.)","Minister of Finance","NULL","NULL","NULL","NULL","Flaherty, Jim (L'hon.)","ministre des Finances","NULL","NULL","NULL","NULL","Julie Dickson, Superintendent","Julie Dickson, surintendante","<p><br /> </p> <p>The Office of the Superintendent of Financial Institutions (OSFI) was created to contribute to public confidence in the Canadian financial system.</p> <p>Under our&#160;legislation, our mandate is to:</p> <ul> <li>Supervise federally regulated financial institutions (FRFIs) and private pension plans to determine whether they are in sound financial condition and meeting minimum plan funding requirements respectively, and are complying with their governing law and supervisory requirements;</li> <li>Promptly advise institutions and plans in the event there are material deficiencies and take or require management, boards or plan administrators to take necessary corrective measures expeditiously;</li> <li>Advance and administer a regulatory framework that promotes the adoption of policies and procedures designed to control and manage risk; and</li> <li>Monitor and evaluate system-wide or sectoral issues that may impact institutions negatively.</li> </ul> <p>OSFI&#8217;s legislation has due regard to the need to allow institutions to compete effectively and take reasonable risks. Our legislation also recognizes that management, boards of directors and plan administrators are ultimately responsible and that financial institutions and pension plans can fail.</p> <p>The Office of the Chief Actuary, which is part of OSFI, provides actuarial services to the Government of Canada.</p>","<p><br /> </p> <p>Le Bureau du surintendant des institutions financi&#232;res (BSIF) a &#233;t&#233; mis sur pied en vue d&#8217;accro&#238;tre la confiance du public &#224; l&#8217;&#233;gard du syst&#232;me financier canadien.</p> <p>Les dispositions l&#233;gislatives&#160;visant le BSIF pr&#233;voient qu&#8217;il nous incombe de poursuivre les objectifs suivants :</p> <ul> <li>surveiller les institutions financi&#232;res f&#233;d&#233;rales (IFF) pour s&#8217;assurer qu&#8217;elles sont en bonne sant&#233; financi&#232;re, et les r&#233;gimes de retraite priv&#233;s pour veiller &#224; ce qu&#8217;ils respectent les exigences minimales de capitalisation, et que tous deux se conforment aux lois qui les r&#233;gissent et aux exigences de surveillance;</li> <li>aviser sans d&#233;lai les institutions financi&#232;res et les r&#233;gimes de retraite en cas de graves lacunes et prendre des mesures pour corriger la situation sans tarder ou obliger la direction, le conseil d&#8217;administration ou les administrateurs du r&#233;gime en cause &#224; le faire;</li> <li>promouvoir et administrer un cadre de r&#233;glementation incitant &#224; l&#8217;adoption de politiques et de proc&#233;dures destin&#233;es &#224; contr&#244;ler et &#224; g&#233;rer le risque;</li> <li>surveiller et &#233;valuer les questions syst&#233;miques ou sectorielles qui pourraient avoir des r&#233;percussions n&#233;gatives sur les institutions.</li> </ul> <p>Les dispositions l&#233;gislatives visant le BSIF tiennent d&#251;ment compte de la n&#233;cessit&#233;, pour les institutions financi&#232;res, de faire face &#224; la concurrence de fa&#231;on efficace et de prendre des risques raisonnables. Elles reconnaissent &#233;galement aux gestionnaires, aux conseils d&#8217;administration et aux administrateurs des r&#233;gimes de retraite la responsabilit&#233; de derni&#232;re instance et pr&#233;voient que les institutions financi&#232;res et les r&#233;gimes de retraite peuvent faire faillite.</p> <p>Le Bureau de l&#8217;actuaire en chef, qui fait partie du BSIF, fournit des services actuariels au gouvernement du Canada.</p> <p><br /> </p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Office of the Superintendent of Financial Institutions Act</em>, R.S.C. 1985, c. 18, (3rd Supp.)</p>","<p><em>Loi sur le Bureau du surintendant des institutions financi&#232;res</em>, L.R.C. 1985, c. 18 (3e supp.)</p>","www.osfi-bsif.gc.ca","www.osfi-bsif.gc.ca"
"PCA","Parks Canada Agency","Agence Parcs Canada","Parks Canada","Parcs Canada","Parks Canada Agency","Agence Parcs Canada","Environment","Environnement","Kent, Peter (Hon.)","Minister of the Environment","NULL","NULL","NULL","NULL","Kent, Peter (L'hon.)","ministre de l'Environnement","NULL","NULL","NULL","NULL","Alan Latourelle, Chief Executive Officer","Alan Latourelle, directeur général de lAgence","<p>To protect and present nationally significant examples of Canada&#8217;s natural and cultural heritage and to foster public understanding, appreciation, and enjoyment in ways that ensure their ecological and commemorative integrity for present and future generations.</p>","<p>Prot&#233;ger et mettre en valeur des exemples repr&#233;sentatifs du patrimoine naturel et culturel du Canada et favoriser chez le public la connaissance, l&#8217;appr&#233;ciation et la jouissance, de mani&#232;re &#224; en assurer l&#8217;int&#233;grit&#233; &#233;cologique et comm&#233;morative pour les g&#233;n&#233;rations d&#8217;aujourd&#8217;hui et de demain.</p>","Service Agency","Organisme de service","<p><em>Parks Canada Agency Act</em>, S.C. 1998, c. 31</p>","<p><em>Loi sur l&#8217;Agence Parcs Canada</em>, L.C. 1998, ch. 31</p>","www.pc.gc.ca","www.pc.gc.ca"
"PCC","Royal Canadian Mounted Police Public Complaints Commission","Commission des plaintes du public contre la Gendarmerie royale du Canada","Commission for Public Complaints Against the Royal Canadian Mounted Police","Commission des plaintes du public contre la Gendarmerie royale du Canada","Royal Canadian Mounted Police Public Complaints Commission","Commission des plaintes du public contre la Gendarmerie royale du Canada","Public Safety and Emergency Preparedness","Sécurité publique et Protection civile","Toews, Vic (Hon.)","Minister of Public Safety","NULL","NULL","NULL","NULL","Toews, Vic (L'hon.)","ministre de la Sécurité publique","NULL","NULL","NULL","NULL","Ian McPhail, Interim Chair","Ian McPhail, président intérimaire","<p>To receive complaints from the public about the conduct of RCMP members, to conduct reviews when complainants are not satisfied with the RCMP&#8217;s handling of their complaints, to hold hearings and carry out investigations, and to report findings and make recommendations.</p>","<p>Recevoir les plaintes du public concernant la conduite de membres de la Gendarmerie royale du Canada (GRC); proc&#233;der &#224; un examen lorsque les plaignants sont insatisfaits du r&#232;glement de leurs plaintes par la GRC; convoquer des audiences, mener des enqu&#234;tes, &#233;noncer des conclusions et formuler des recommandations</p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Royal Canadian Mounted Police Act</em>, R.S.C 1985, c. R-10</p>","<p><em>Loi sur la Gendarmerie royale du Canada</em>, L.R.C. 1985, ch. R-10</p>","www.cpc-cpp.gc.ca","www.cpc-cpp.gc.ca"
