"Organisations","Vote*","Votestattype","Description","Description","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2012-13","Authority used in 2012-13"
"OCI","40",1,"Dépenses du programme","Program expenditures","3,696,426","3,612,869","4,474,298","4,399,240","3,696,426","3,612,869","4,474,298","4,399,240","4,298,566","4,073,794"
"OCI","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","465,709","465,709","537,427","537,427","465,709","465,709","537,427","537,427","502,592","502,592"
"ODPP","35",1,"Dépenses du programme","Program expenditures","158,747,162","132,189,548","171,650,860","141,477,954","158,747,162","132,189,548","171,650,860","141,477,954","167,751,430","148,167,371"
"ODPP","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years",221,221,0,0,221,221,0,0,0,0
"ODPP","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","14,146,038","14,146,038","14,965,696","14,965,696","14,146,038","14,146,038","14,965,696","14,965,696","15,199,452","15,199,452"
"OPSIC","50",1,"Dépenses du programme","Program expenditures","6,347,959","4,816,143","6,904,617","5,192,767","6,347,959","4,816,143","6,904,617","5,192,767","5,594,208","5,002,357"
"OPSIC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",0,0,0,0,0,0,0,0,66,66
"OPSIC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","507,555","507,555","473,096","473,096","507,555","507,555","473,096","473,096","540,573","540,573"
"OSFI","35",1,"Dépenses du programme","Program expenditures","946,801","923,806","910,226","910,226","946,801","923,806","910,226","910,226","909,369","909,369"
"OSFI","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","9,902","9,901","2,656","2,655","9,902","9,901","2,656","2,655","2,020","2,019"
"OSFI","(S)",999,"Dépense des revenus conformément au paragraphe 17(2) de la Loi sur le Bureau du surintendant des institutions financières  Paiements des dépenses afférentes aux activités du Bureau en vertu des articles 16 et 17 de la Loi sur le Bureau  du surintendant des institutions financières  Autorisation maximale dont le montant ne peut, sans l'approbation du Conseil du Trésor, dépasser de plus de 40 000 000 $ le total des cotisations et revenus reçus et autorisés de dépenser par la Loi","Spending of revenues pursuant to subsection 17(2) of the Office of the Superintendent of Financial Institutions Act  Payments to defray the expenses arising out of the operations of the Office pursuant  to sections 16 and 17 of the Office of the Superintendent of Financial Institutions Act  Total authorized limit shall not, without Treasury Board approval, at any time exceed by more than $40,000,000 the total of the assessments and revenues received and authorized by the Act to be spent","81,929,813","14,813,895","67,115,918","-13,517,692","81,929,813","14,813,895","67,115,918","-13,517,692","80,633,611","-1,224,124"
"IPC","40",1,"Commissariat à l'information du Canada-Dépenses du programme","Office of the Information Commissioner of Canada-Program expenditures","11,407,386","11,259,378","11,930,589","11,376,683","11,407,386","11,259,378","11,930,589","11,376,683","11,456,173","10,905,185"
"IPC","45",1,"Commissariat à la protection de la vie privé du Canada-Dépenses du programme","Office of the Privacy Commissioner of Canada-Program expenditures","22,214,697","20,826,126","24,530,287","23,795,371","22,214,697","20,826,126","24,530,287","23,795,371","23,869,493","23,036,569"
"IPC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",493,0,682,0,493,0,682,0,517,0
"IPC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","3,352,235","3,352,235","3,618,642","3,618,642","3,352,235","3,352,235","3,618,642","3,618,642","3,889,782","3,889,782"
"CLVM","15",5,"Paiements à la Société du Vieux-Port de Montréal inc. pour les dépenses de fonctionnement et les dépenses en capital","Payments to Old Port of Montreal Corporation Inc. for operating and capital expenditures","28,986,795","28,986,795","30,373,001","30,373,000","28,986,795","28,986,795","30,373,001","30,373,000","25,173,000","24,472,000"
"PCA","25",1,"Dépenses du programme","Program expenditures","767,404,737","715,550,464","603,446,570","504,032,705","767,404,737","715,550,464","603,446,570","504,032,705","607,935,988","456,782,300"
"PCA","30",5,"Paiements au Compte des nouveaux parcs et lieux historiques","Payments to the New Parks and Historic Sites Account","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
"PCA","(S)",999,"Dépenses qui équivalent aux revenus résultant de la poursuite des opérations en vertu de l'article 20 de la Loi sur l'Agence Parcs Canada","Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act","113,416,016","113,416,016","118,172,207","118,172,207","113,416,016","113,416,016","118,172,207","118,172,207","118,010,814","118,010,814"
"PCA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","56,249,170","56,249,170","55,306,993","55,306,993","56,249,170","56,249,170","55,306,993","55,306,993","55,254,477","55,254,477"
"PMPRB","45",1,"Dépenses du programme","Program expenditures","11,605,136","8,527,960","11,735,590","8,241,046","11,605,136","8,527,960","11,735,590","8,241,046","11,667,975","7,145,775"
"PMPRB","(S)",999,"Montants adjugés par une cour ","Spending of proceeds from the disposal of surplus Crown assets",0,0,"46,870","46,871",0,0,"46,870","46,871",0,0
"PMPRB","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years",0,0,"2,512,878","2,512,878",0,0,"2,512,878","2,512,878",0,0
"PMPRB","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",99,99,46,46,99,99,46,46,0,0
"PMPRB","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","942,648","942,648","953,535","953,535","942,648","942,648","953,535","953,535","911,028","911,028"
"PPP","40",5,"Paiements à PPP Canada Inc. pour le fonctionnement et l'exécution des programmes","Payments to PPP Canada Inc. for operations and program delivery","12,700,000","11,000,000","12,700,000","12,700,000","12,700,000","11,000,000","12,700,000","12,700,000","12,700,000","12,450,000"
"PPP","45",5,"Paiements à PPP Canada Inc. pour les investissements du Fonds P3","Payments to PPP Canada Inc. for P3 Fund investments","242,500,000","242,500,000","275,000,000","275,000,000","242,500,000","242,500,000","275,000,000","275,000,000","275,000,000","275,000,000"
"PCO","1",1,"Dépenses du programme","Program expenditures","151,601,766","143,369,694","150,694,375","138,212,059","151,601,766","143,369,694","150,694,375","138,212,059","129,513,255","114,953,289"
"PCO","(S)",999,"Premier ministre--Traitement et allocation pour automobile","Prime Minister--Salary and motor car allowance","159,853","159,853","159,751","159,751","159,853","159,853","159,751","159,751","159,731","159,731"
"PCO","(S)",999,"Ministre des Affaires intergouvernementales et Président du Conseil privé de la Reine pour le Canada--Traitement et allocation pour automobile","Minister of Intergovernmental Affairs and President of the Queen's Privy Council for Canada--Salary and motor car allowance","77,638","77,638","77,537","77,537","77,638","77,638","77,537","77,537","73,974","73,974"
"PCO","(S)",999,"Leader du gouvernement au Sénat-Traitement et allocation pour automobile","Leader of the Government in the Senate-Salary and motor car allowance","77,622","77,622","77,520","77,520","77,622","77,622","77,520","77,520","77,500","77,500"
"PCO","(S)",999,"Leader du gouvernement à la Chambre des communes--Traitement et allocation pour automobile","Leader of the Government in the House of Commons--Salary and motor car allowance","78,890","78,890","77,537","77,537","78,890","78,890","77,537","77,537","77,516","77,516"
"PCO","(S)",999,"Ministre d'État et Whip en chef du gouvernement--Allocation pour automobile","Minister of State and Chief Government Whip--Motor car allowance","2,122","2,122","2,020","2,020","2,122","2,122","2,020","2,020","2,000","2,000"
"PCO","(S)",999,"Ministre d'État (Réforme démocratique)--Allocation pour automobile","Minister of State (Democratic Reform)--Motor car allowance","2,122","2,122","2,020","2,020","2,122","2,122","2,020","2,020","2,000","2,000"
"PCO","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","70,120","6,817","111,933","63,303","70,120","6,817","111,933","63,303","66,121","48,629"
"PCO","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","16,155,918","16,155,918","16,758,066","16,758,066","16,155,918","16,155,918","16,758,066","16,758,066","14,837,802","14,837,802"
"PACS","25",1,"Dépenses du programme","Program expenditures","992,250","268,373","992,250","119,473","992,250","268,373","992,250","119,473","992,250",0
"PACS","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","25,761","25,761","15,607","15,607","25,761","25,761","15,607","15,607",0,0
"PHAC","50",1,"Dépenses de fonctionnement","Operating expenditures","438,183,735","368,197,623","431,838,404","379,391,177","438,183,735","368,197,623","431,838,404","379,391,177","396,085,975","358,770,085"
"PHAC","55",2,"Dépenses en capital","Capital expenditures","36,773,594","30,320,882","28,372,624","27,234,343","36,773,594","30,320,882","28,372,624","27,234,343","19,501,051","15,456,407"
"PHAC","60",3,"Subventions et contributions","Grants and contributions","201,473,489","184,115,437","196,985,563","193,291,760","201,473,489","184,115,437","196,985,563","193,291,760","204,477,515","201,062,716"
"PHAC","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","59,836","59,836",0,0,"59,836","59,836",0,0,567,567
"PHAC","(S)",999,"Honoraires  Agence de recouvrement","Collection agency fees","1,184","1,184",0,0,"1,184","1,184",0,0,50,50
"PHAC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","58,172","42,503","77,242","59,686","58,172","42,503","77,242","59,686","39,221","25,792"
"PHAC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","35,382,628","35,382,628","36,522,571","36,522,571","35,382,628","35,382,628","36,522,571","36,522,571","32,848,779","32,848,779"
"PHAC","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Spending of Revenues pursuant to section 4.2 of the Department of Health Act",0,0,0,0,0,0,0,0,"11,491,833","11,491,833"
"PSEP","1",1,"Dépenses de fonctionnement","Operating expenditures","150,250,725","140,564,048","152,158,975","141,648,763","150,250,725","140,564,048","152,158,975","141,648,763","139,311,850","133,660,075"
"PSEP","5",3,"Subventions et contributions","Grants and contributions","520,027,850","376,766,793","246,043,792","244,162,360","520,027,850","376,766,793","246,043,792","244,162,360","479,440,792","434,902,027"
"PSEP","(S)",999,"Ministre de la Sécurité publique - Traitement et allocation pour automobile","Minister of Public Safety - Salary and motor car allowance","77,638","77,638","77,536","77,536","77,638","77,638","77,536","77,536","77,516","77,516"
"PSEP","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","15,188,676","15,188,676","15,676,137","15,676,136","15,188,676","15,188,676","15,676,137","15,676,136","15,634,160","15,634,160"
"PSC","95",1,"Dépenses du programme","Program expenditures","91,628,667","87,581,886","97,565,064","92,308,370","91,628,667","87,581,886","97,565,064","92,308,370","90,326,779","82,974,741"
"PSC","(S)",999,"Remboursements de montants portés aux revenus d'exercice antérieurs","Refunds of amounts credited to revenues in previous years","52,825","52,825","19,834","19,834","52,825","52,825","19,834","19,834","2,770","2,770"
"PSC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",870,870,"1,532","1,532",870,870,"1,532","1,532","1,108","1,108"
"PSC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","13,339,518","13,339,518","13,276,147","13,276,147","13,339,518","13,339,518","13,276,147","13,276,147","12,751,447","12,751,447"
"PSSRB","100",1,"Dépenses du programme","Program expenditures","12,892,947","10,667,623","14,026,811","12,140,002","12,892,947","10,667,623","14,026,811","12,140,002","13,216,189","12,349,921"
"PSSRB","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",64,64,0,0,64,64,0,0,140,140
"PSSRB","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","1,221,089","1,221,089","1,306,699","1,306,699","1,221,089","1,221,089","1,306,699","1,306,699","1,284,279","1,284,279"
"PSST","105",1,"Dépenses du programme","Program expenditures","5,043,039","4,192,116","5,438,979","4,387,381","5,043,039","4,192,116","5,438,979","4,387,381","5,260,052","4,543,265"
"PSST","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","554,721","554,721","548,695","548,695","554,721","554,721","548,695","548,695","565,542","565,542"
"GSC","1",1,"Dépenses de fonctionnement","Operating expenditures","2,506,884,908","2,292,411,148","2,266,031,098","2,175,092,763","2,506,884,908","2,292,411,148","2,266,031,098","2,175,092,763","2,150,827,426","2,080,057,661"
"GSC","5",2,"Dépenses en capital","Capital expenditures","689,430,094","688,531,837","509,318,814","489,566,916","689,430,094","688,531,837","509,318,814","489,566,916","578,401,616","547,914,082"
"GSC","6",9,"Fonds renouvelable d'alinéation des biens immobiliers- En vertu de l'article 12 de la Loi sur les fonds renouvelables, pour abroger le paragraphe 5(4) et l'article 5.1 de la Loi, à compter du 31 mars 2013","Real Property Disposition Revolving Fund-In accordance with section 12 of the Revolving Funds Act to repeal subsection 5(4) and section 5.1 of that Act as of March 31, 2013",0,0,1,0,0,0,1,0,1,0
"GSC",7,9,"Fonds renouvelable de Conseils et Vérification Canada En vertu de l'article 12 de la Loi sur les renouvelables, L.R.C. (1985), ch. R-8, pour abroger l'article 5.4 de la même loi, à compter du 31 mars 2012","Consulting and Audit Canada Revolving Fund In accordance with section 12 of the Revolving  Funds Act, R.S.C. 1985, c. R-8, to repeal section 5.4 of the said Act, as of March 31, 2012",1,0,1,0,1,0,1,0,0,0
"GSC","10",3,"Contributions","Contributions",0,0,"5,210,000","5,053,348",0,0,"5,210,000","5,053,348","5,497,037","5,463,823"
"GSC","(S)",999,"Ministre des Travaux publics et des Services gouvernementaux--Traitement et allocation pour automobile","Minister of Public Works and Government Services--Salary and motor car allowance","77,638","77,638","77,536","77,536","77,638","77,638","77,536","77,536","77,516","77,516"
"GSC","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","45,789","45,789","649,557","649,557","45,789","45,789","649,557","649,557","143,304","143,304"
"GSC","(S)",999,"Honoraires  Agence de recouvrement","Collection agency fees",424,424,"1,170","1,170",424,424,"1,170","1,170",816,816
"GSC","(S)",999,"Pertes sur opérations de change","Losses on foreign exchange",87,87,"29,229","29,229",87,87,"29,229","29,229",0,0
"GSC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","383,753","120,496","616,108","371,855","383,753","120,496","616,108","371,855","623,809","313,433"
"GSC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","115,283,089","115,283,089","115,151,728","115,151,728","115,283,089","115,283,089","115,151,728","115,151,728","108,998,910","108,998,910"
"GSC","(S)",999,"Paiement en remplacement d'impôts fonciers versées aux municipalités et à d'autres autorités taxatrices","Payment in lieu of taxes to municipalities and other taxing authorities","491,614,147","491,614,147","509,186,346","509,186,346","491,614,147","491,614,147","509,186,346","509,186,346","513,882,534","513,882,534"
"GSC","(S)",999,"Recouvrements des ministères responsables","Recoveries from custodian departments","-492,444,793","-492,444,793","-509,027,975","-509,027,975","-492,444,793","-492,444,793","-509,027,975","-509,027,975","-514,917,053","-514,917,053"
"GSC","(S)",999,"Fonds renouvelable des Services immobiliers","Real Property Services Revolving Fund","321,761,695","-6,694,130","190,033,203","6,092,305","321,761,695","-6,694,130","190,033,203","6,092,305","187,181,103","-4,665,014"
"GSC","(S)",999,"Fonds renouvelable d'aliénation des biens immobiliers","Real Property Disposition Revolving Fund","-71,147","-6,525,999","464,448","-6,880,838","-71,147","-6,525,999","464,448","-6,880,838","-10,069,187","-10,069,187"
"GSC","(S)",999,"Fonds renouvelable des services optionnels","Optional Services Revolving Fund","39,193,301","-1,707,617","40,900,918","2,015,634","39,193,301","-1,707,617","40,900,918","2,015,634","38,885,284","3,265,799"
"GSC","(S)",999,"Fonds renouvelable de Conseils et Vérification Canada","Consulting and Audit Canada Revolving Fund","20,908,455","-1,592,517","2,913,824","2,913,824","20,908,455","-1,592,517","2,913,824","2,913,824",0,0
"GSC","(S)",999,"Fonds renouvelable des Services communs de télécommunications et d'informatique","Telecommunications and Informatics Common Services Revolving Fund","63,106,964","1,089,755",0,0,"63,106,964","1,089,755",0,0,0,0
"GSC","(S)",999,"Fonds renouvelable du Bureau de la traduction","Translation Bureau Revolving Fund","27,601,960","357,467","37,799,873","3,215,146","27,601,960","357,467","37,799,873","3,215,146","34,916,595","7,066,633"
"GSC","(S)",999,"Fonds renouvelable de la production de défense","Defence Production Revolving Fund","100,000,000",0,"100,000,000",0,"100,000,000",0,"100,000,000",0,"100,000,000",0
"CT","85",1,"Dépenses du programme","Program expenditures","2,030,607","1,393,219","2,387,460","1,459,253","2,030,607","1,393,219","2,387,460","1,459,253","2,280,697","1,583,752"
"CT","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",493,0,493,0,493,0,493,0,0,0
"CT","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","132,701","132,701","129,443","129,443","132,701","132,701","129,443","129,443","153,060","153,060"
"RPSDP","110",1,"Dépenses du programme","Program expenditures","1,726,200","848,136","1,827,258","1,559,962","1,726,200","848,136","1,827,258","1,559,962","1,736,449","1,510,899"
"RPSDP","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","92,172","92,172","126,641","126,642","92,172","92,172","126,641","126,642","148,842","148,842"
"RSCT","40",1,"Dépenses de fonctionnement","Operating expenditures","2,763,472","2,058,036","2,780,627","2,317,774","2,763,472","2,058,036","2,780,627","2,317,774","2,782,635","1,995,450"
"RSCT","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",456,0,114,0,456,0,114,0,155,0
"RSCT","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","107,236","107,236","116,502","116,502","107,236","107,236","116,502","116,502","142,163","142,163"
"RCMP","45",1,"Dépenses de fonctionnement","Operating expenditures","2,458,974,846","2,308,771,609","2,236,610,650","2,119,252,589","2,458,974,846","2,308,771,609","2,236,610,650","2,119,252,589","2,465,405,070","2,243,129,029"
"RCMP","50",2,"Dépenses en capital","Capital expenditures","316,478,094","237,188,430","346,197,021","275,948,698","316,478,094","237,188,430","346,197,021","275,948,698","341,327,184","232,989,445"
"RCMP","55",3,"Subventions et contributions, le montant inscrit à chacune des subventions pouvant être modifié sous réserve de l'approbation du Conseil du Trésor","Grants and contributions, provided that the amount listed for any grant may be increased or decreased subject to the approval of the Treasury Board","116,064,573","110,595,599","128,436,789","122,798,710","116,064,573","110,595,599","128,436,789","122,798,710","140,453,625","136,002,171"
"RCMP","(S)",999,"Montants adjugés par une cour","Court Awards",0,0,"122,054","122,054",0,0,"122,054","122,054","561,627","561,627"
"RCMP","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","194,013","194,013","122,077","122,077","194,013","194,013","122,077","122,077","171,183","171,183"
"RCMP","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","14,026,225","8,241,095","12,792,868","7,206,149","14,026,225","8,241,095","12,792,868","7,206,149","11,967,001","7,483,372"
"RCMP","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","79,354,456","79,354,456","81,437,633","81,437,633","79,354,456","79,354,456","81,437,633","81,437,633","76,890,000","76,890,000"
"RCMP","(S)",999,"Pensions et autres prestations des employés - Membres de la Gendarmerie royale du Canada","Pensions and other employee benefits - Members of the Force","346,584,999","346,584,999","352,513,931","352,513,931","346,584,999","346,584,999","352,513,931","352,513,931","413,208,659","413,208,659"
"RCMP","(S)",999,"Pensions aux termes de la Loi sur la continuation des pensions de la Gendarmerie royale du Canada","Pensions under the Royal Canadian Mounted Police Pension Continuation Act","16,480,442","16,480,442","15,173,970","15,173,970","16,480,442","16,480,442","15,173,970","15,173,970","13,963,873","13,963,873"
"ERC","60",1,"Dépenses du programme","Program expenditures","2,130,286","1,543,980","1,852,330","1,510,318","2,130,286","1,543,980","1,852,330","1,510,318","1,617,117","1,451,185"
"ERC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","240,387","240,387","181,574","181,574","240,387","240,387","181,574","181,574","144,410","144,410"
"PCC","65",1,"Dépenses du programme","Program expenditures","7,775,528","6,845,824","8,094,978","7,291,687","7,775,528","6,845,824","8,094,978","7,291,687","7,962,033","7,183,379"
"PCC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","618,179","618,179","589,215","589,215","618,179","618,179","589,215","589,215","827,622","827,622"
"SIRC","30",1,"Dépenses du programme","Program expenditures","2,856,068","2,400,019","3,090,159","2,536,074","2,856,068","2,400,019","3,090,159","2,536,074","2,815,173","2,635,875"
"SIRC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",0,0,0,0,0,0,0,0,147,0
"SIRC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","283,304","283,304","297,480","297,480","283,304","283,304","297,480","297,480","265,398","265,398"
"OSEO","20",1,"Dépenses du programme","Program expenditures","719,500","678,941","719,500","709,569","719,500","678,941","719,500","709,569","701,697","569,694"
"OSEO","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","96,964","96,964","89,873","89,873","96,964","96,964","89,873","89,873","79,937","79,937"
"SHARE","20",1,"Dépenses de fonctionnement","Operating expenditures",0,0,"585,986,653","530,061,391",0,0,"585,986,653","530,061,391","1,370,381,389","1,199,081,235"
"SHARE",21,9,"Fonds renouvelable des Services communs de télécommunications et d'informatique - En vertu de l'article 12 de la Loi dur les fonds renouvelables, pour abroger l'article 5.2 de la même loi, à compter du 31 mars 2012","Telecommunications and Informatics Common  Services Revolving Fund - In accordance with section 12 of the Revolving Funds Act, to repeal section 5.2 of the said Act, as of March 31, 2012",0,0,1,0,0,0,1,0,0,0
"SHARE","25",2,"Dépenses en capital","Capital expenditures",0,0,"59,338,097","54,660,910",0,0,"59,338,097","54,660,910","101,459,178","101,459,044"
"SHARE","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years",0,0,0,0,0,0,0,0,"519,257","519,257"
"SHARE","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",0,0,329,0,0,0,329,0,"2,438",0
"SHARE","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans",0,0,"27,970,401","27,970,401",0,0,"27,970,401","27,970,401","75,808,691","75,808,691"
"SHARE","(S)",999,"Fonds renouvelable des Services communs de télécommunications et d'informatique","Telecommunications and Informatics Common Services Revolving Fund",0,0,"8,407,790","8,407,790",0,0,"8,407,790","8,407,790",0,0
"SHARE","(S)",999,"Pensions et autres prestations des employés  Membres de la Gendarmerie royale du Canada","Pensions and other employee benefits  Members of the Force",0,0,"1,243,731","1,243,731",0,0,"1,243,731","1,243,731","4,280,868","4,280,868"
"SSHRC","90",1,"Dépenses de fonctionnement","Operating expenditures","25,569,835","24,530,985","24,980,865","23,936,272","25,569,835","24,530,985","24,980,865","23,936,272","26,053,628","24,823,822"
"SSHRC","95",3,"Subventions","Grants","663,622,047","661,708,989","671,107,052","670,999,277","663,622,047","661,708,989","671,107,052","670,999,277","670,768,648","668,650,802"
"SSHRC","(S)",999,"Honoraires--Agence de recouvrement","Collection agency fees","2,803","2,803",614,614,"2,803","2,803",614,614,195,195
"SSHRC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",22,0,0,0,22,0,0,0,"19,910","6,679"
"SSHRC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","2,853,148","2,853,148","2,917,498","2,917,498","2,853,148","2,853,148","2,917,498","2,917,498","2,951,085","2,951,085"
"SCA","100",5,"Paiements versés au Conseil canadien des normes","Payments to the Standards Council of Canada","8,346,841","7,788,900","8,422,240","8,059,060","8,346,841","7,788,900","8,422,240","8,059,060","10,318,993","10,318,993"
"SC","105",1,"Dépenses du programme","Program expenditures","523,432,748","498,807,442","709,583,632","657,703,834","523,432,748","498,807,442","709,583,632","657,703,834","472,275,325","440,054,094"
"SC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","12,655","12,655","56,055","56,055","12,655","12,655","56,055","56,055","13,026","13,026"
"SC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","76,388,561","76,388,561","86,351,955","86,351,955","76,388,561","76,388,561","86,351,955","86,351,955","79,824,189","79,824,189"
"SCC","50",1,"Dépenses du programme","Program expenditures","23,815,609","22,523,077","24,330,899","23,023,637","23,815,609","22,523,077","24,330,899","23,023,637","23,503,770","22,423,452"
"SCC","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years",0,0,0,0,0,0,0,0,5,5
"SCC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","7,091",0,"8,002",0,"7,091",0,"8,002",0,"1,751",0
"SCC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","2,727,192","2,727,192","2,707,204","2,707,204","2,727,192","2,727,192","2,707,204","2,707,204","2,770,378","2,770,378"
"SCC","(S)",999,"Traitements, indemnités et pensions des juges, pensions aux conjoints et aux enfants des juges et montants forfaitaires versés aux conjoints des juges qui décèdent pendant leur mandat","Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office","5,045,423","5,045,423","5,724,347","5,724,347","5,045,423","5,045,423","5,724,347","5,724,347","6,025,983","6,025,983"
"CFDC","115",5,"Paiements à Téléfilm Canada devant servir aux fins prévues par la  Loi sur Téléfilm Canada ","Payments to Telefilm Canada to be used for the purposes set out in the  Telefilm Canada Act ","105,670,672","105,667,144","105,667,144","105,667,144","105,670,672","105,667,144","105,667,144","105,667,144","105,667,144","102,968,394"
"JCCB","50",5,"Paiements à la société Les Ponts Jacques-Cartier et Champlain Inc.","Payments to the Jacques Cartier and Champlain Bridges Inc.","121,539,001","89,999,001","153,887,000","97,329,991","121,539,001","89,999,001","153,887,000","97,329,991","182,933,000","109,054,244"
"SEN","1",1,"Dépenses du programme","Program expenditures","59,490,350","53,464,529","59,490,350","56,793,395","59,490,350","53,464,529","59,490,350","56,793,395","57,933,343","55,650,087"
"SEN","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","6,864,569","6,864,569","6,641,354","6,641,354","6,864,569","6,864,569","6,641,354","6,641,354","6,908,886","6,908,886"
"SEN","(S)",999,"Dignitaires du Sénat et sénateurs-Traitements, allocations et autres paiements versés au président du Sénat, aux sénateurs et autres dignataires du Sénat en vertu de la Loi sur le Parlement du Canada; contributions au compte d'allocations de retraite des parlementaires et au compte de convention de retraite des parlementaires","Officers and Members of the Senate-Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account","28,047,542","28,047,542","26,544,931","26,544,931","28,047,542","28,047,542","26,544,931","26,544,931","26,322,815","26,322,815"
